id,name,birthdate,deathdate
2329,Elizabeth Berrington,1970-08-03,
2330,Elizabeth Blackmore,,
2331,Elizabeth Daily,1961-09-11,
2332,Elizabeth Debicki,,
2333,Elizabeth MacRae,1936-02-22,
2334,Elizabeth McGovern,1961-07-18,
2335,Elizabeth Meriwether,,
2336,Elizabeth Montgomery,1933-04-15,1995-05-18
2337,Elizabeth Perkins,1960-11-18,
2338,Elizabeth Stenholt,,
2339,Elizabeth Streb,,
2340,Ella Joyce,1954-06-12,
2341,Ella Wahlestedt,1998-08-01,
2342,Ellar Coltrane,1994-08-27,
2343,Ellen Albertini Dow,1913-11-16,2015-05-04
2344,Ellen Barkin,1954-04-16,
2345,Ellen Block,,
2346,Ellen Burstyn,1932-12-07,
2347,Ellen Ross,1928-10-25,
2348,Ellen Sandweiss,1958-12-30,
2349,Ellen Wong,,
2350,Ellia Thompson,,
2351,Ellie Cornell,1963-12-15,
2352,Ellie Kendrick,1990-06-06,
2353,Elliott Gould,1938-08-29,
2354,Ellory Elkayem,1970-08-12,
2355,Elodie Yung,1981-02-22,
2356,Elpidia Carrillo,1961-08-16,
2357,Elsa Lanchester,1902-10-28,1986-12-26
2358,Elton John,1947-03-25,
2359,Elvis Nolasco,,
2360,Elvis Tsui,1960-10-10,
2361,Elyas M'Barek,1982-05-29,
2362,Embeth Davidtz,1965-08-11,
2363,Eme Ikwuakor,,
2364,Emile Ardolino,1943-05-09,1993-11-20
2365,Émile Gaudreault,,
2366,Emilia Clarke,1986-10-23,
2367,Emilia Fox,1974-07-31,
2368,Émilie Dequenne,1981-08-29,
2369,Emilio Estefan Jr.,1953-03-04,
2370,Emilio Estevez,1962-05-12,
2371,Emily Alyn Lind,,
2372,Emily Baldoni,1984-08-03,
2373,Emily Dell,,
2374,Emily Gorell,,
2375,Emily Meade,1989-01-10,
2376,Emily Nelson,,
2377,Emily Osment,1992-03-10,
2378,Emily Pearson,,
2379,Emily Podleski,1979-05-15,
2380,Emily Ratajkowski,1991-06-07,
2381,Emily Rios,1989-04-27,
2382,Emily Watson,1967-01-14,
2383,Emily Wickersham,1984-04-26,
2384,Emily Young,,
2385,Emir Kusturica,1954-11-24,
2386,Emma Bell,1986-12-17,
2387,Emma Caulfield,1973-04-08,
2388,Emma de Caunes,1976-09-09,
2389,Emma Eliza Regan,,
2390,Emma Kenney,1999-09-14,
2391,Emma Lung,,
2392,Emma Stone,1988-11-06,
2393,Emma Watson,1990-04-15,
2394,Emma-Kate Croghan,,
2395,Emmanuel Kabongo,1986-12-25,
2396,Emmanuelle Béart,1963-08-14,
2397,Emmanuelle Bercot,1967-11-06,
2398,Emmanuelle Riva,1927-02-24,2017-01-27
2399,Emmanuelle Seigner,1966-06-22,
2400,Emmanuelle Vaugier,1976-06-23,
2401,Emraan Hashmi,1979-03-24,
2402,Enrico Colantoni,1963-02-14,
2403,Enrique Begne,,
2404,Enrique Iglesias,1975-05-08,
2405,Enrique Murciano,1973-07-09,
2406,Enrique Villén,,
2407,Enzo Petito,1897-07-24,1967-07-17
2408,Eoin Macken,1987-04-15,
2409,Eric Ambriz,,
2410,Eric Blakeney,1959-09-14,
2411,Eric Blore,1887-12-23,1959-03-02
2412,Eric Bress,1962-03-25,
2413,Eric Brevig,,
2414,Eric Bross,1964-01-21,
2415,Eric Bugbee,,
2416,Eric Cantona,1966-05-24,
2417,Eric Christmas,1916-03-19,2000-07-22
2418,Eric Dane,1972-11-09,
2419,Eric Darnell,,
2420,Eric Eason,,
2421,Eric Elmosnino,1964-05-02,
2422,Eric England,1988-02-23,
2423,Eric Godon,1959-02-07,
2424,Eric Idle,1943-03-29,
2425,Eric Jacobson,1970-07-25,
2426,Eric Johnson,1974-04-28,
2427,Eric Lange,1973-02-19,
2428,Eric Lartigau,,
2429,Eric Lavaine,,
2430,Eric Leighton,1962-11-06,
2431,Eric Lloyd,1986-05-19,
2432,Eric Mabius,1971-04-22,
2433,Eric McCormack,1963-04-18,
2434,Eric Mendelsohn,1964-11-01,
2435,Eric Mendenhall,,
2436,Eric Nicholas,,
2437,Eric Peterson,1946-10-02,
2438,Eric Schaeffer,1962-01-22,
2439,Eric Schlosser,1959-08-17,
2440,Eric Schweig,1967-06-19,
2441,Eric Sheffer Stevens,1972-06-19,
2442,Eric Stoltz,1961-09-30,
2443,Eric Stonestreet,1971-09-09,
2444,Eric Stuart,1967-10-18,
2445,Eric Styles,,
2446,Eric Sykes,1923-05-04,2012-07-04
2447,Éric Tessier,1883-05-28,1973-06-01
2448,Eric Valette,,
2449,Eric Winter,1976-07-17,
2450,Eric Worre,,
2451,Erica Leerhsen,1976-02-14,
2452,Erica Linz,,
2453,Erick Avari,1952-04-13,
2454,Erick Elias,1980-06-23,
2455,Ericson Core,,
2456,Erik Canuel,,
2457,Erik Estrada,1949-03-16,
2458,Erik Knudsen,1988-03-25,
2459,Erik Palladino,1968-05-10,
2460,Erik Per Sullivan,1991-07-12,
2461,Erik White,,
2462,Erika Christensen,1982-08-19,
2463,Erin Bethea,1982-08-12,
2464,Erin Boyes,,
2465,Erin Cipolletti,,
2466,Erin Daniels,1972-10-09,
2467,Erin Fitzgerald,1972-09-21,
2468,Erin Gray,1950-01-07,
2469,Erin O'Brien,1975-01-31,
2470,Erin Pitt,,
2471,Erin Wasson,1982-01-20,
2472,Erland Josephson,1923-06-15,2012-02-25
2473,Ernest R. Dickerson,1951-06-25,
2474,Ernie Barbarash,,
2475,Ernie Reyes Jr.,1972-01-15,
2476,Eros Vlahos,1995-01-13,
2477,Errol Flynn,1909-06-20,1959-10-14
2478,Errol Morris,1948-02-05,
2479,Esai Morales,1962-10-01,
2480,Essence Atkins,1972-02-07,
2481,Essie Davis,,
2482,Estella Warren,1978-12-23,
2483,Estelle Parsons,1927-11-20,
2484,Esther Williams,1921-08-08,2013-06-06
2485,Etan Cohen,,
2486,Ethan Coen,1957-09-21,
2487,Ethan Embry,1978-06-13,
2488,Ethan Maniquis,,
2489,Ethan Peck,1986-03-02,
2490,Ethan Stiefel,,
2491,Ethan Suplee,1976-05-25,
2492,Étienne Faure,,
2493,Eugène Lourié,1903-04-08,1991-05-26
2494,Eugene Roche,1928-09-22,2004-07-28
2495,Eugenia Khirivskaya,1981-09-03,
2496,Eugenie Bondurant,1961-04-27,
2497,Eugenio Derbez,1962-09-02,
2498,Eva Amurri Martino,1985-03-15,
2499,Eva Birthistle,,
2500,Eva Boehnke,,
2501,Eva Bourne,,
2502,Eva Carrozza,,
2503,Eva Green,1980-07-06,
2504,Eva LaRue,1966-12-27,
2505,Eva Marcille,1984-10-30,
2506,Eva Marie Saint,1924-07-04,
2507,Evan Goldberg,,
2508,Evan Jones,,
2509,Evan McGuire,,
2510,Evan Parke,1968-01-02,
2511,Evan Ross,1988-08-26,
2512,Eve,1978-11-10,
2513,Eve Ensler,1953-05-25,
2514,Eve Plumb,1958-04-29,
2515,Evelyn Jefferson,,
2516,Everett McGill,1945-10-21,
2517,Everett Sloane,1909-10-01,1965-08-06
2518,Evgeniy Mironov,1966-11-29,
2519,Ewen Bremner,1972-01-23,
2520,Ewen Solon,1917-09-07,1985-07-07
2521,Exie Booker,,
2522,Eytan Fox,1964-08-21,
2523,Ezra Miller,1992-09-30,
2524,F. Gary Gray,1969-07-17,
2525,F. Murray Abraham,1939-10-24,
2526,Fabián Bielinsky,1959-02-03,2006-06-28
2527,Fabian Bolin,,
2528,Fabio Testi,1941-08-02,
2529,Fabrice Luchini,1951-11-01,
2530,Facundo Lombard,,
2531,Fadia Nadda,,
2532,Faizon Love,1968-06-14,
2533,Fana Mokoena,1971-05-13,
2534,Fann Wong,1971-01-27,
2535,Fanny Ardant,1949-03-22,
2536,Fares Fares,1973-04-29,
2537,Farrah Fawcett,1947-02-02,2009-06-25
2538,Fatih Akin,1973-08-25,
2539,Fay Masterson,1974-04-15,
2540,Faye Dunaway,1941-01-14,
2541,Fede Alvarez,1978-02-09,
2542,Fedja van Huêt,1973-06-21,
2543,Fedor Bondarchuk,1967-05-09,
2544,Felicia Pearson,1980-05-18,
2545,Felicity Huffman,1962-12-09,
2546,Felix Avitia,2002-10-03,
2547,Félix Moati,1989-08-04,
2548,Fenella Woolgar,1969-08-04,
2549,Fenton Bailey,,
2550,Ferdinando Vetere,,
2551,Fereshteh Sadre Orafaiy,,
2552,Fergie,1975-03-27,
2553,Fernanda Andrade,,
2554,Fernanda Machado,1980-10-10,
2555,Fernanda Montenegro,1929-10-16,
2556,Fernanda Torres,1965-09-14,
2557,Fernando Baez Mella,,
2558,Fernando Cayo,1968-04-22,
2559,Fernando León de Aranoa,1968-05-26,
2560,Fernando Meirelles,1955-11-09,
2561,Fernando Rey,1917-09-20,1994-03-09
2562,Feroz Abbas Khan,,
2563,Ferzan Ozpetek,1959-02-03,
2564,Filippo Timi,1974-02-27,
2565,Fina Torres,1969-04-25,
2566,Finlay Currie,1878-01-20,1968-05-09
2567,Finn Ireland,,
2568,Finn Taylor,1958-07-04,
2569,Finn Wittrock,1984-10-28,
2570,Finola Hughes,1959-10-29,
2571,Fiona Dourif,1981-10-30,
2572,Fiona Glascott,1982-11-22,
2573,Fiona Shaw,1958-07-10,
2574,Fionnula Flanagan,1941-12-10,
2575,Firass Dirani,1984-04-29,
2576,Fisher Stevens,1963-11-27,
2577,Flaco Navaja,,
2578,Flavio Parenti,,
2579,Flea,1962-10-16,
2580,Flint Beverage,,
2581,Florence Ayisi,,
2582,Florence Henderson,1934-02-14,2016-11-24
2583,Florent-Emilio Siri,1965-03-02,
2584,Floria Sigismondi,,
2585,Florian Henckel von Donnersmarck,1973-05-02,
2586,Florian Lukas,1973-03-16,
2587,Floyd Mutrux,1941-06-25,
2588,Forest Whitaker,1961-07-15,
2589,Forrest Tucker,1919-02-12,1986-10-25
2590,Fortunato Cerlino,1971-06-17,
2591,Fran Drescher,1957-09-30,
2592,Fran Kranz,1981-07-13,
2593,Frances Bavier,1902-12-14,1989-12-06
2594,Frances Bay,1919-01-23,2011-09-15
2595,Frances Conroy,1953-11-13,
2596,Frances Fisher,1956-10-21,2016-12-27
2597,Frances Lee McCain,1944-07-28,
2598,Frances O'Connor,1967-06-12,
2599,Francesc Pagès,,
2600,Francesca Capaldi,,
2601,Francesca Gregorini,1968-08-07,
2602,Francesca Rettondini,1971-03-07,
2603,Francine Blake,,
2604,Francis Capra,1983-04-27,
2605,Francis Ford Coppola,1939-04-07,
2606,Francis Lawrence,1951-11-07,
2607,Francis Lederer,1899-11-06,2000-05-25
2608,Franck Khalfoun,,
2609,Franco Nero,1941-11-23,
2610,Franco Zeffirelli,1923-02-12,
2611,François Bégaudeau,,
2612,François Berléand,1952-04-22,
2613,François Chau,1959-10-26,
2614,François Cluzet,1955-09-21,
2615,François Damiens,1973-01-17,
2616,François Girard,1963-01-12,
2617,François Ozon,1967-11-15,
2618,François Truffaut,1932-02-06,1984-10-21
2619,Françoise Yip,1972-09-04,
2620,Frank Borzage,1894-04-23,1962-06-19
2621,Frank Capra,1897-05-18,1991-09-03
2622,Frank Coraci,1966-02-03,
2623,Frank Darabont,1959-01-28,
2624,Frank Dillane,1991-04-21,
2625,Frank Faylen,1905-12-08,1985-08-02
2626,Frank Finlay,1926-08-06,2016-01-30
2627,Frank Gerrish,1963-03-14,
2628,Frank Grillo,1965-06-08,
2629,Frank Hvam,1970-09-12,
2630,Frank LaLoggia,1954-01-12,
2631,Frank Langella,1938-01-01,
2632,Frank Lotito,,
2633,Frank Marshall,1946-09-13,
2634,Frank McHugh,1898-05-23,1981-09-11
2635,Frank Miller,1957-01-27,
2636,Frank Nissen,,
2637,Frank Oz,1944-05-25,
2638,Frank Perry,1930-08-21,1995-08-29
2639,Frank Rautenbach,1972-05-12,
2640,Frank Sebastiano,,
2641,Frank Vincent,1939-08-04,
2642,Frank Welker,1946-03-12,
2643,Frank Whaley,1963-07-20,
2644,Frankie Muniz,1985-12-05,
2645,Frankie Valli,1934-05-03,
2646,Franklin J. Schaffner,1920-05-30,1989-07-02
2647,Franky G,1965-10-30,
2648,Fred Armisen,1966-12-04,
2649,Fred Dekker,1959-04-09,
2650,Fred Durst,1970-08-20,
2651,Fred Gwynne,1926-07-10,1993-07-02
2652,Fred MacMurray,1908-08-30,1991-11-05
2653,Fred Malatesta,1889-04-18,1952-04-08
2654,Fred Melamed,1956-05-13,
2655,Fred Rogers,1928-03-20,2003-02-27
2656,Fred Savage,1976-07-09,
2657,Fred Schepisi,1939-12-26,
2658,Fred Tatasciore,,
2659,Fred Walton,,
2660,Fred Ward,1942-12-30,
2661,Fred Willard,1939-09-18,
2662,Fred Williamson,1938-03-05,
2663,Fred Wolf,1932-09-13,
2664,Fred Zinnemann,1907-04-29,1997-03-14
2665,Freddie Jones,1927-09-12,
2666,Freddy Rodríguez,1975-01-17,
2667,Frédéric Auburtin,1962-06-04,
2668,Frédéric Forestier,,
2669,Frederic Forrest,1936-12-23,
2670,Frederick Weller,1947-06-24,
2671,Frederik Du Chau,1965-05-15,
2672,Fredro Starr,1971-04-18,
2673,French Stewart,1964-02-20,
2674,Frida Hallgren,1974-12-16,
2675,Fritz Kortner,1892-05-12,1970-07-22
2676,Fritz Lang,1890-12-05,1976-08-02
2677,G.J. Echternkamp,,
2678,G.W. Bailey,1944-08-27,
2679,G.W. Krauss,,
2680,Gabe Ibáñez,1971-06-07,
2681,Gabor Csupo,1952-09-29,
2682,Gabourey Sidibe,1983-05-06,
2683,Gabriel Almirón,,
2684,Gabriel Bateman,,
2685,Gabriel Beristain,1955-05-09,
2686,Gabriel Damon,1976-04-23,
2687,Gabriel Hogan,,
2688,Gabriel Iglesias,1976-07-15,
2689,Gabriel Millman,1986-02-07,
2690,Gabriel Reyes,,
2691,Gabriel Thomson,1986-10-27,
2692,Gabriela Castillo,,
2693,Gabriela Tagliavini,1968-12-29,
2694,Gabriele Muccino,1967-05-20,
2695,Gabrielle Carteris,1961-01-02,
2696,Gabrielle Reece,1970-01-06,
2697,Gaby Hoffmann,1982-01-08,
2698,Gael Le Cornec,,
2699,Gage Golightly,1993-09-05,
2700,Gaia Weiss,1991-08-30,
2701,Gale Sondergaard,1899-02-15,1985-08-14
2702,Gano Grills,,
2703,Garba Touré,,
2704,Garcelle Beauvais,1966-11-26,
2705,Gareth Edwards,,
2706,Gareth Evans,,
2707,Garrett Clayton,,
2708,Garrett M. Brown,1948-11-07,
2709,Garrett Morris,1937-02-01,
2710,Garrett Ryan,,
2711,Garrick Hagon,1939-09-27,
2712,Garry Cooper,1901-05-07,1961-05-13
2713,Garry Marshall,1934-11-13,2016-07-19
2714,Garry Shandling,1949-11-29,2016-03-24
2715,Garth Jennings,,
2716,Garvin Cross,,
2717,Gary Chapman,,
2718,Gary Cole,1956-09-20,
2719,Gary Coleman,1968-02-08,2010-05-28
2720,Gary Cooper,1901-05-07,1961-05-13
2721,Gary Daniels,1963-05-09,
2722,Gary David Goldberg,1944-06-25,2013-06-22
2723,Gary Dourdan,1966-12-11,
2724,Gary Farmer,1953-06-12,
2725,Gary Fleder,1965-12-19,
2726,Gary Halvorson,,
2727,Gary Hardwick,,
2728,Gary Jones,1947-02-24,
2729,Gary Lewis,,
2730,Gary Lockwood,1937-02-21,
2731,Gary McDonald,,
2732,Gary McKendry,,
2733,Gary Nelson,1951-12-20,
2734,Gary Oldman,1958-03-21,
2735,Gary Rogers,,
2736,Gary Ross,1956-11-03,
2737,Gary Schwartz,,
2738,Gary Sherman,,
2739,Gary Shore,,
2740,Gary Sinyor,,
2741,Gary Stretch,1968-11-04,
2742,Gary Trousdale,1960-06-08,
2743,Gary Weeks,1972-06-04,
2744,Gary Winick,1961-03-31,2011-02-27
2745,Gaspar Noé,1963-12-27,
2746,Gastón Pauls,1972-01-17,
2747,Gauhar Khan,1983-08-23,
2748,Gavin Hood,1963-05-12,
2749,Gavin MacLeod,1931-02-28,
2750,Gavin Newsom,1967-10-10,
2751,Gavin O'Connor,,
2752,Gavin Wiesen,,
2753,Gaye Brown,1941-03-02,
2754,Gbenga Akinnagbe,1978-12-12,
2755,Gedde Watanabe,1955-06-26,
2756,Gemma Chan,1982-11-29,
2757,Gemma Jones,1942-12-04,
2758,Gen Seto,,
2759,Gena Rowlands,1930-06-19,
2760,Gene Quintano,,
2761,Gene Simmons,1949-08-25,
2762,Gene Teigland,,
2763,Gene Tierney,1920-11-19,1991-11-06
2764,Geneviève Bujold,1942-07-01,
2765,Geneviève Lemon,,
2766,Genevieve O'Reilly,1977-01-06,
2767,Genndy Tartakovsky,1970-01-17,
2768,Geoff Bell,,
2769,Geoff Murphy,1946-06-13,
2770,Geoff Stults,1977-12-15,
2771,Geoffrey Arend,1978-02-28,
2772,Geoffrey Holder,1930-08-01,2014-10-05
2773,Geoffrey Palmer,1927-06-04,
2774,Geoffrey Sax,,
2775,Georg Wilhelm Pabst,1885-08-25,1967-05-29
2776,George 'Buck' Flower,1937-10-28,2004-06-18
2777,George A. Romero,1940-02-04,
2778,George Armitage,,
2779,George Brent,1904-03-15,1979-05-26
2780,George C. Scott,1927-10-18,1999-09-22
2781,George Carlin,1937-05-12,2008-06-22
2782,George Chakiris,1934-09-16,
2783,George Clooney,1961-05-06,
2784,George Coe,1955-02-03,
2785,George Cole,1967-03-01,
2786,George Coulouris,1903-10-01,1989-04-25
2787,George Cukor,1899-07-07,1983-01-24
2788,George DiCenzo,1940-04-21,2010-08-09
2789,George Gallo,,
2790,George Hamilton,1939-08-12,
2791,George Harris,1925-02-18,2016-02-28
2792,George Harrison,1943-02-25,2001-11-29
2793,George Hickenlooper,1963-05-25,2010-10-30
2794,George Jackson,,
2795,George Kennedy,1925-02-18,2016-02-28
2796,George Lazenby,1939-09-05,
2797,George Lopez,1961-04-23,
2798,George Lucas,1944-05-14,
2799,George Miller,1945-03-03,
2800,George Newbern,1964-12-30,
2801,George Newton,1957-04-05,
2802,George Nolfi,,
2803,George P. Cosmatos,1941-01-04,2005-04-19
2804,George Peppard,1928-10-01,1994-05-08
2805,George Raft,1901-09-26,1980-11-24
2806,George Ratliff,1968-10-11,
2807,George Reeves,1914-01-05,1959-06-16
2808,George Roy Hill,1921-12-20,2002-12-27
2809,George Sanders,1906-07-03,1972-04-25
2810,George Sidney,1916-10-04,2002-05-05
2811,George Stevens,1932-04-03,
2812,George T. Odom,1950-08-21,2016-09-21
2813,George Tillman Jr.,1969-01-26,
2814,George Voskovec,1905-06-19,1981-07-01
2815,George W. Bush,1946-07-06,
2816,George Wendt,1948-10-17,
2817,Georgia Groome,1992-02-11,
2818,Georgia Hilton,,
2819,Georgina Cates,1975-01-14,
2820,Georgina Chapman,1976-04-14,
2821,Georgina Reilly,1986-02-12,
2822,Gerald McRaney,1947-08-19,
2823,Gerald Potterton,1931-03-08,
2824,Geraldine Chaplin,1944-07-31,
2825,Geraldine McEwan,1932-05-09,2015-01-30
2826,Gerard Butler,1969-11-13,
2827,Gerard Johnstone,,
2828,Gérard Jugnot,1951-05-04,
2829,Gérard Krawczyk,1953-05-17,
2830,Gerard McSorley,,
2831,Gerardo Taracena,,
2832,Germán Alcarazu,,
2833,Gerry Becker,1951-04-11,
2834,Gerry Bednob,,
2835,Gerry Lively,,
2836,Gerry Lopez,,
2837,Gert Fröbe,1913-02-25,1988-09-05
2838,Ghassan Massoud,1958-09-20,
2839,Gia Coppola,1987-01-01,
2840,Gia Mantegna,1990-04-17,
2841,Gian Maria Volontè,1933-04-09,1994-12-06
2842,Giancarlo Giannini,1942-08-01,
2843,Gideon Emery,1972-09-12,
2844,Gideon Raff,,
2845,Gigi Rice,1965-03-13,
2846,Gil Bellows,1967-06-28,
2847,Gil Birmingham,1953-07-13,
2848,Gil Junger,1954-11-07,
2849,Gil Kenan,1976-10-16,
2850,Gilbert Gottfried,1955-02-28,
2851,Gilbert R. Hill,1931-11-06,2016-02-29
2852,Gilbert Roland,1905-12-11,1994-05-15
2853,Gilles Lellouche,,
2854,Gilles Paquet-Brenner,,
2855,Gillian Armstrong,1950-12-18,
2856,Gillian Jacobs,1982-10-19,
2857,Gillian Robespierre,1978-06-29,
2858,Gillian White,,
2859,Gina Bellman,1966-07-10,
2860,Gina Holden,1975-03-17,
2861,Gina Lollobrigida,1927-07-04,
2862,Gina McKee,1964-04-14,
2863,Gina Montana,,
2864,Gina Prince-Bythewood,1969-06-10,
2865,Ginger Jensen,,
2866,Ginger Rogers,1911-07-16,1995-04-25
2867,Gino Salvano,,
2868,Giovanna Mezzogiorno,1974-11-09,
2869,Giovanni Zelko,,
2870,Gitte Witt,1983-06-20,
2871,Giulia Michelini,1985-06-02,
2872,Giuliano Montaldo,1930-02-22,
2873,Giuseppe Tornatore,1956-05-27,
2874,Gladys Cooper,1888-12-18,1971-11-17
2875,Glen Hansard,1970-04-21,
2876,Glen Morgan,,
2877,Glen Murphy,,
2878,Glen Powell,1988-10-21,
2879,Glenn Beck,1964-02-10,
2880,Glenn Campbell,1936-04-22,
2881,Glenn Erland Tosterud,,
2882,Glenn Ficarra,,
2883,Glenn Ford,1916-05-01,2006-08-30
2884,Glenn Howerton,1976-04-13,
2885,Glenn Morshower,1959-04-24,
2886,Glenn Plummer,1961-08-18,
2887,Glenn Shadix,1952-04-15,2010-09-07
2888,Glenne Headly,1955-03-13,
2889,Gloria Foster,1933-11-15,2001-09-29
2890,Gloria Grahame,1923-11-28,1981-10-05
2891,Gloria Reuben,1964-06-09,
2892,Gloria Sandoval,,
2893,Gloria Stuart,1910-07-04,2010-09-26
2894,Gloria Votsis,1979-02-09,
2895,Glynis Johns,1923-10-05,
2896,Gnana Rajasekaran,,
2897,Gonzalo López-Gallego,,
2898,Goran Dukic,,
2899,Goran Visnjic,1972-09-09,
2900,Gordon Chan,,
2901,Gordon Currie,1965-09-25,
2902,Gordon Jackson,1923-12-19,1990-01-15
2903,Gordon Jump,1932-04-01,2003-09-22
2904,Gordon Pinsent,1930-07-12,
2905,Gore Verbinski,1964-03-16,
2906,Goya Toledo,1969-09-24,
2907,Grace Gummer,1986-05-09,
2908,Grace Jones,1948-05-19,
2909,Grace Phipps,1992-05-04,
2910,Graham Annable,,
2911,Graham Beckel,1949-12-22,
2912,Graham McTavish,1961-01-03,
2913,Grant Bowler,1968-07-18,
2914,Grant Heslov,1963-05-15,
2915,Grasie Mercedes,1978-02-23,
2916,Graziella Galvani,1931-06-27,
2917,Greer Garson,1929-02-20,1989-08-16
2918,Greg Aronowitz,,
2919,Greg Ayres,1968-12-07,
2920,Greg Berlanti,1972-05-24,
2921,Greg Collins,1952-12-08,
2922,Greg Coolidge,1972-12-28,
2923,Greg Crowe,1965-03-13,
2924,Greg D'Agostino,,
2925,Greg Germann,1958-02-26,
2926,Greg Grunberg,1966-07-11,
2927,Greg Harrison,1950-05-31,
2928,Greg Jackson,1964-06-10,
2929,Greg Marcks,1976-08-12,
2930,Greg Mottola,1964-07-11,
2931,Greg Nicotero,1963-03-15,
2932,Greg Speirs,,
2933,Greg Tiernan,1965-06-19,
2934,Gregg Henry,1952-05-06,
2935,Gregor Jordan,,
2936,Gregory Alan Williams,1956-06-12,
2937,Gregory Cruz,,
2938,Gregory Hoblit,1944-11-27,
2939,Gregory Itzin,1948-04-20,
2940,Gregory Jacobs,,
2941,Gregory Nava,1949-04-10,
2942,Gregory Poirier,1961-05-19,
2943,Gregory Scott Cummins,,
2944,Gregory Sierra,1941-01-25,
2945,Gregory Smith,1983-07-06,
2946,Gregory Widen,,
2947,Greta Gerwig,1983-08-04,
2948,Gretchen Mol,1972-11-08,
2949,Gretchen Palmer,1961-12-16,
2950,Grey Damon,1987-09-24,
2951,Grey Griffin,1973-08-24,
2952,Griffin Cleveland,,
2953,Griffin Dunne,1955-06-08,
2954,Griffin Kane,,
2955,Grigoriy Dobrygin,1986-02-17,
2956,Guang Li,,
2957,Guillaume Canet,1973-04-10,
2958,Guillaume Denaiffe,,
2959,Guillaume Ivernel,,
2960,Guillermo Arriaga,1958-03-13,
2961,Guillermo del Toro,1964-10-09,
2962,Guillermo Francella,1955-02-14,
2963,Gulshan Grover,1955-09-21,
2964,Gunnar Hansen,,
2965,Gurinder Chadha,1960-01-10,
2966,Guro Nagelhus Schia,,
2967,Gus Van Sant,1952-07-24,
2968,Gustaf Skarsgård,1980-11-12,
2969,Gustav Fröhlich,1902-03-21,1987-12-22
2970,Guy Hamilton,1964-03-25,
2971,Guy Maddin,1956-02-28,
2972,Guy Ritchie,1968-09-10,
2973,Gyton Grantley,,
2974,H.M. Coakley,1971-01-01,
2975,H.M. Wynant,1927-02-12,
2976,Hailu Qin,,
2977,Hakeem Kae-Kazim,1962-10-01,
2978,Hal Haberman,,
2979,Hal Holbrook,1925-02-17,
2980,Hal Landon Jr.,1941-05-23,
2981,Hal Linden,1931-03-20,
2982,Hal Needham,1931-03-06,2013-10-25
2983,Haley Bennett,1988-01-07,
2984,Haley Joel Osment,1988-04-10,
2985,Haley Ramm,1992-03-26,
2986,Hallee Hirsh,1987-12-16,
2987,Haluk Bilginer,1954-06-05,
2988,Ham Tran,,
2989,Hana Mae Lee,1988-09-28,
2990,Hana Shuan,1981-09-24,
2991,Hanaa Bouchaib,,
2992,Hank Braxtan,1980-04-27,
2993,Hannah Britland,,
2994,Hannah Murray,1989-07-01,
2995,Hannah Spearritt,1981-04-01,
2996,Hanne Aagesen,1933-01-11,2016-03-18
2997,Hanno Pöschl,1949-07-02,
2998,Hans Canosa,,
2999,Hans Kesting,1960-10-06,
3000,Hans Matheson,1975-08-07,
3001,Hans Petter Moland,1955-10-17,
3002,Hans Weingartner,1970-11-02,
3003,Hansika Motwani,1991-08-09,
3004,Hao Ning,,
3005,Harald Reinl,1908-07-09,1986-10-09
3006,Harald Zwart,1965-07-01,
3007,Hardy Krüger,1928-04-12,
3008,Hark Tsui,1950-02-15,
3009,Harland Williams,1962-11-14,
3010,Harley Cokeliss,1945-02-11,
3011,Harley Jane Kozak,1957-01-28,
3012,Harmage Singh Kalirai,,
3013,Harmony Korine,1973-01-04,
3014,Harold Becker,1928-09-25,
3015,Harold Cronk,,
3016,Harold Gould,1923-12-10,2010-09-11
3017,Harold Perrineau,1963-08-07,
3018,Harold Ramis,1944-11-21,2014-02-24
3019,Harriet Walter,1950-09-24,
3020,Harris Yulin,1937-11-05,
3021,Harrison Ford,1942-07-13,
3022,Harrison Gilbertson,,
3023,Harrison Page,1941-08-27,
3024,Harry Beaumont,1888-02-10,1966-12-22
3025,Harry Carey Jr.,1921-05-16,2012-12-27
3026,Harry Connick Jr.,1967-09-11,
3027,Harry Elfont,1968-04-05,
3028,Harry F. Millarde,1885-11-12,1931-11-02
3029,Harry Gantz,,
3030,Harry Lennix,1964-11-16,
3031,Harry Shearer,1943-12-23,
3032,Harry Styles,1994-02-01,
3033,Harry Treadaway,1984-09-10,
3034,Hart Bochner,1956-10-03,
3035,Haruma Miura,1990-04-05,
3036,Harvey Fierstein,1954-06-06,
3037,Harvey Korman,1927-02-15,2008-05-29
3038,Harvey Weinstein,1952-03-19,
3039,Hassan Johnson,,
3040,Hattie McDaniel,1895-06-10,1952-10-26
3041,Hayao Miyazaki,1941-01-05,
3042,Hayden Christensen,1981-04-19,
3043,Hayley Atwell,1982-04-05,
3044,Hayley Cloake,,
3045,Hayley Kiyoko,1991-04-03,
3046,Hayley Lovitt,,
3047,Hayley McFarland,1991-03-29,
3048,Heath Ledger,1979-04-04,2008-01-22
3049,Heather Berman,,
3050,Heather Bucha,,
3051,Heather Burns,1975-04-07,
3052,Heather Donahue,1974-12-22,
3053,Heather Langenkamp,1964-07-17,
3054,Heather Locklear,1961-09-25,
3055,Heather Matarazzo,1982-11-10,
3056,Heather Morris,1987-02-01,
3057,Heather O'Rourke,1975-12-27,1988-02-01
3058,Heather Sossaman,1987-04-25,
3059,Hector Echavarria,1969-12-06,
